ts,symbol,condition_id,token_id_up,token_id_down,up_price,down_price,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth,up_ask_depth,down_bid_depth,down_ask_depth,elapsed_pct,remaining_sec,arb_profit,up_trade_count,down_trade_count,total_volume,vol_bucket,trend_bucket,rv60,eff60,prob_up,dir_60pct,dir_80pct,dir_90pct,prob_008,prob_012,prob_020,market_start_ts,market_end_ts
2026-03-07T20:53:56.780789+00:00,BTC,0xcf73a8b39385685902c9db4b3e11ddbea8c0068d18a3d3e7dddcf1fbed0d1e39,101232970789194434112412612215936718071242649441250289327640729328589635566236,16634447021171496228242215412147648672828374470223091364055051470885263598182,0.48,0.52,0.01,0.99,0.01,0.99,0.98,0.98,15706.84,16349.609999999999,16349.609999999999,15706.84,0.5964,363.2,,16,4,41583.15207899999,LowVol,Trend,1.99502,0.0354,0.4832,0.4832,0.4811,0.48,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:54:56.799774+00:00,BTC,0xcf73a8b39385685902c9db4b3e11ddbea8c0068d18a3d3e7dddcf1fbed0d1e39,101232970789194434112412612215936718071242649441250289327640729328589635566236,16634447021171496228242215412147648672828374470223091364055051470885263598182,0.61,0.39,0.01,0.99,0.01,0.99,0.98,0.98,15595.289999999999,15682.87,15682.87,15595.289999999999,0.6631,303.2,,16,4,41583.15207899999,LowVol,Trend,1.867238,0.0237,0.5924,0.5924,0.6039,0.6097,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:55:56.817488+00:00,BTC,0xcf73a8b39385685902c9db4b3e11ddbea8c0068d18a3d3e7dddcf1fbed0d1e39,101232970789194434112412612215936718071242649441250289327640729328589635566236,16634447021171496228242215412147648672828374470223091364055051470885263598182,0.44,0.56,0.01,0.99,0.01,0.99,0.98,0.98,15364.039999999999,15336.87,15336.87,15364.039999999999,0.7298,243.2,,16,4,41583.15207899999,LowVol,Trend,1.839387,0.0155,0.4496,0.4496,0.4433,0.4401,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:56:56.841138+00:00,BTC,0xcf73a8b39385685902c9db4b3e11ddbea8c0068d18a3d3e7dddcf1fbed0d1e39,101232970789194434112412612215936718071242649441250289327640729328589635566236,16634447021171496228242215412147648672828374470223091364055051470885263598182,0.64,0.36,0.01,0.99,0.01,0.99,0.98,0.98,16459.04,15196.87,15196.87,16459.04,0.7965,183.2,,21,10,47006.28531899995,LowVol,Trend,1.690355,0.0264,0.6176,0.6176,0.6323,0.6397,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:57:56.862921+00:00,BTC,0xcf73a8b39385685902c9db4b3e11ddbea8c0068d18a3d3e7dddcf1fbed0d1e39,101232970789194434112412612215936718071242649441250289327640729328589635566236,16634447021171496228242215412147648672828374470223091364055051470885263598182,0.5,0.5,0.01,0.99,0.01,0.99,0.98,0.98,14361.039999999999,15946.48,15946.48,14361.039999999999,0.8632,123.1,,21,10,47006.28531899995,LowVol,Trend,2.140785,0.0337,0.5,0.5,0.5,0.5,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:58:58.588277+00:00,BTC,0xcf73a8b39385685902c9db4b3e11ddbea8c0068d18a3d3e7dddcf1fbed0d1e39,101232970789194434112412612215936718071242649441250289327640729328589635566236,16634447021171496228242215412147648672828374470223091364055051470885263598182,0.82,0.18,0.01,0.99,0.01,0.99,0.98,0.98,15234.58,11066.88,11066.88,15239.58,0.9318,61.4,,21,10,47006.28531899995,LowVol,Trend,2.173756,0.065,0.7688,0.7688,0.8024,0.8192,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:59:58.607944+00:00,BTC,0xcf73a8b39385685902c9db4b3e11ddbea8c0068d18a3d3e7dddcf1fbed0d1e39,101232970789194434112412612215936718071242649441250289327640729328589635566236,16634447021171496228242215412147648672828374470223091364055051470885263598182,0.551,0.449,0.01,0.99,0.01,0.99,0.98,0.98,9651.0,39089.93,39089.93,9651.0,0.9985,1.4,,21,10,92361.8455930001,HighVol,Range,3.450342,0.0139,0.5326,0.5326,0.5367,0.5388,0.44,0.56,0.71,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T21:00:58.625409+00:00,BTC,0xbadcc8046a3e256360414bb80eb9b6d41ca11209683d3598fab5da3a7290578f,29716943152887470635186106804528957676891936911675424518388576926901460503587,30765369222546107826624089864190525091207379767386802976775913600383268056890,0.371,0.629,0.01,0.99,0.01,0.99,0.98,0.98,37777.57,37050.61,37050.61,37777.57,0.0651,841.4,,2,2,1827.7810170000005,HighVol,Trend,3.196229,0.0279,0.3865,0.3865,0.3723,0.3652,0.36,0.47,0.63,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
2026-03-07T21:01:58.642437+00:00,BTC,0xbadcc8046a3e256360414bb80eb9b6d41ca11209683d3598fab5da3a7290578f,29716943152887470635186106804528957676891936911675424518388576926901460503587,30765369222546107826624089864190525091207379767386802976775913600383268056890,0.471,0.529,0.01,0.99,0.01,0.99,0.98,0.98,37614.55,38828.08,38823.08,37614.55,0.1318,781.4,,2,2,1827.7810170000005,HighVol,Trend,3.12098,0.0288,0.4745,0.4745,0.4713,0.4697,0.36,0.47,0.63,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
2026-03-07T21:02:58.659391+00:00,BTC,0xbadcc8046a3e256360414bb80eb9b6d41ca11209683d3598fab5da3a7290578f,29716943152887470635186106804528957676891936911675424518388576926901460503587,30765369222546107826624089864190525091207379767386802976775913600383268056890,0.641,0.359,0.01,0.99,0.01,0.99,0.98,0.98,32464.960000000003,33815.98,33815.98,32464.960000000003,0.1985,721.3,,2,2,1827.7810170000005,LowVol,Trend,1.977301,0.0266,0.6184,0.6184,0.6332,0.6406,0.52,0.63,0.8,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
