ts,symbol,condition_id,token_id_up,token_id_down,up_price,down_price,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth,up_ask_depth,down_bid_depth,down_ask_depth,elapsed_pct,remaining_sec,arb_profit,up_trade_count,down_trade_count,total_volume,vol_bucket,trend_bucket,rv60,eff60,prob_up,dir_60pct,dir_80pct,dir_90pct,prob_008,prob_012,prob_020,market_start_ts,market_end_ts
2026-03-07T20:53:56.780789+00:00,ETH,0xe05c5c81517f8ad7b8b501ba6102deec44e27dd9a05ea04bf068c7280250c3f6,72531104021209117490258077777181142430891589487787294999391480898307920913641,8362225738821128051485235493717386650056167555614770600124170254102341199777,0.44,0.56,0.01,0.99,0.01,0.99,0.98,0.98,9932.85,10857.880000000001,10857.880000000001,9932.85,0.5964,363.2,,2,3,4580.158407000004,LowVol,Range,1.035003,0.0075,0.4568,0.4568,0.4514,0.4487,0.65,0.74,0.87,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:54:56.799774+00:00,ETH,0xe05c5c81517f8ad7b8b501ba6102deec44e27dd9a05ea04bf068c7280250c3f6,72531104021209117490258077777181142430891589487787294999391480898307920913641,8362225738821128051485235493717386650056167555614770600124170254102341199777,0.52,0.48,0.01,0.99,0.01,0.99,0.98,0.98,9889.35,10044.85,10044.85,9889.35,0.6631,303.2,,2,3,4580.158407000004,LowVol,Range,1.647281,0.0044,0.5144,0.5144,0.5162,0.5171,0.65,0.74,0.87,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:55:56.817488+00:00,ETH,0xe05c5c81517f8ad7b8b501ba6102deec44e27dd9a05ea04bf068c7280250c3f6,72531104021209117490258077777181142430891589487787294999391480898307920913641,8362225738821128051485235493717386650056167555614770600124170254102341199777,0.42,0.58,0.01,0.99,0.01,0.99,0.98,0.98,9173.35,10008.85,10008.85,9173.35,0.7298,243.2,,3,3,4580.158407000004,LowVol,Trend,2.05742,0.0187,0.4328,0.4328,0.4244,0.4202,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:56:56.841138+00:00,ETH,0xe05c5c81517f8ad7b8b501ba6102deec44e27dd9a05ea04bf068c7280250c3f6,72531104021209117490258077777181142430891589487787294999391480898307920913641,8362225738821128051485235493717386650056167555614770600124170254102341199777,0.53,0.47,0.01,0.99,0.01,0.99,0.98,0.98,9813.35,9963.85,9963.85,9813.35,0.7965,183.2,,3,3,4580.158407000004,LowVol,Range,1.770743,0.0,0.5216,0.5216,0.5243,0.5257,0.65,0.74,0.87,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:57:56.862921+00:00,ETH,0xe05c5c81517f8ad7b8b501ba6102deec44e27dd9a05ea04bf068c7280250c3f6,72531104021209117490258077777181142430891589487787294999391480898307920913641,8362225738821128051485235493717386650056167555614770600124170254102341199777,0.5,0.5,0.01,0.99,0.01,0.99,0.98,0.98,9334.35,9644.85,9644.85,9334.35,0.8632,123.1,,3,3,12256.840341000003,LowVol,Trend,1.891152,0.0359,0.5,0.5,0.5,0.5,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:58:58.588277+00:00,ETH,0xe05c5c81517f8ad7b8b501ba6102deec44e27dd9a05ea04bf068c7280250c3f6,72531104021209117490258077777181142430891589487787294999391480898307920913641,8362225738821128051485235493717386650056167555614770600124170254102341199777,0.18,0.82,0.01,0.99,0.01,0.99,0.98,0.98,9659.35,5989.85,5989.85,9659.35,0.9318,61.4,,3,3,12256.840341000003,HighVol,Trend,2.577322,0.0413,0.2184,0.2184,0.1832,0.1656,0.36,0.47,0.63,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:59:58.607944+00:00,ETH,0xe05c5c81517f8ad7b8b501ba6102deec44e27dd9a05ea04bf068c7280250c3f6,72531104021209117490258077777181142430891589487787294999391480898307920913641,8362225738821128051485235493717386650056167555614770600124170254102341199777,0.18,0.82,0.01,0.99,0.01,0.99,0.98,0.98,5957.35,6058.84,6058.84,5957.35,0.9985,1.4,,3,3,12256.840341000003,HighVol,Range,3.598476,0.0135,0.2952,0.2952,0.2696,0.2568,0.44,0.56,0.71,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T21:00:58.625409+00:00,ETH,0xfb9ddd2620b52baea4d8a53bc3f2731f61d96b40354d2eefe3a90905692eacb2,65278510021279778921062290896887598197165407556001767332672185409684927388343,99860636781118109802710858652649662964123244719567577854167774071354244725240,0.3,0.7,0.01,0.99,0.01,0.99,0.98,0.98,30117.010000000002,26327.780000000002,26327.780000000002,30117.010000000002,0.0651,841.4,,2,2,457.02038,HighVol,Range,3.538594,0.0112,0.372,0.372,0.356,0.348,0.44,0.56,0.71,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
2026-03-07T21:01:58.642437+00:00,ETH,0xfb9ddd2620b52baea4d8a53bc3f2731f61d96b40354d2eefe3a90905692eacb2,65278510021279778921062290896887598197165407556001767332672185409684927388343,99860636781118109802710858652649662964123244719567577854167774071354244725240,0.55,0.45,0.01,0.99,0.01,0.99,0.98,0.98,29999.43,30174.030000000002,30174.030000000002,29999.43,0.1318,781.4,,2,2,457.02038,HighVol,Range,2.528608,0.0032,0.532,0.532,0.536,0.538,0.44,0.56,0.71,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
2026-03-07T21:02:58.659391+00:00,ETH,0xfb9ddd2620b52baea4d8a53bc3f2731f61d96b40354d2eefe3a90905692eacb2,65278510021279778921062290896887598197165407556001767332672185409684927388343,99860636781118109802710858652649662964123244719567577854167774071354244725240,0.36,0.64,0.01,0.99,0.01,0.99,0.98,0.98,27049.43,27915.98,27915.98,27049.43,0.1985,721.3,,2,2,457.02038,LowVol,Range,2.087381,0.0068,0.3992,0.3992,0.3866,0.3803,0.65,0.74,0.87,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
