ts,symbol,condition_id,token_id_up,token_id_down,up_price,down_price,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth,up_ask_depth,down_bid_depth,down_ask_depth,elapsed_pct,remaining_sec,arb_profit,up_trade_count,down_trade_count,total_volume,vol_bucket,trend_bucket,rv60,eff60,prob_up,dir_60pct,dir_80pct,dir_90pct,prob_008,prob_012,prob_020,market_start_ts,market_end_ts
2026-03-07T20:53:56.780789+00:00,SOL,0xf960aa93db6822a6b578d4a557b7f77df91fe57b1f7e9b36fbf7c90c09d24090,43032175536975152034771023808550975100766296947606660446014697879867743155456,65706516950636871550225431068946355120129933719377513739547168941712776846409,0.61,0.39,0.01,0.99,0.01,0.99,0.98,0.98,6863.67,10491.0,10491.0,6863.67,0.5964,363.2,,0,2,1219.9560579999998,LowVol,Trend,1.904073,0.0224,0.5924,0.5924,0.6039,0.6097,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:54:56.799774+00:00,SOL,0xf960aa93db6822a6b578d4a557b7f77df91fe57b1f7e9b36fbf7c90c09d24090,43032175536975152034771023808550975100766296947606660446014697879867743155456,65706516950636871550225431068946355120129933719377513739547168941712776846409,0.42,0.58,0.01,0.99,0.01,0.99,0.98,0.98,8985.66,9882.140000000001,9882.140000000001,8985.66,0.6631,303.2,,0,2,3273.024971,HighVol,Trend,2.402278,0.0177,0.4296,0.4296,0.4208,0.4164,0.36,0.47,0.63,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:55:56.817488+00:00,SOL,0xf960aa93db6822a6b578d4a557b7f77df91fe57b1f7e9b36fbf7c90c09d24090,43032175536975152034771023808550975100766296947606660446014697879867743155456,65706516950636871550225431068946355120129933719377513739547168941712776846409,0.57,0.43,0.01,0.99,0.01,0.99,0.98,0.98,8889.66,9776.140000000001,9776.140000000001,8889.66,0.7298,243.2,,0,2,3273.024971,HighVol,Range,2.614869,0.0,0.5448,0.5448,0.5504,0.5532,0.44,0.56,0.71,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:56:56.841138+00:00,SOL,0xf960aa93db6822a6b578d4a557b7f77df91fe57b1f7e9b36fbf7c90c09d24090,43032175536975152034771023808550975100766296947606660446014697879867743155456,65706516950636871550225431068946355120129933719377513739547168941712776846409,0.6,0.4,0.01,0.99,0.01,0.99,0.98,0.98,9403.0,7670.0,7670.0,9403.0,0.7965,183.1,,0,2,5943.679471999998,LowVol,Trend,2.046111,0.0473,0.584,0.584,0.5945,0.5998,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:57:56.862921+00:00,SOL,0xf960aa93db6822a6b578d4a557b7f77df91fe57b1f7e9b36fbf7c90c09d24090,43032175536975152034771023808550975100766296947606660446014697879867743155456,65706516950636871550225431068946355120129933719377513739547168941712776846409,0.5,0.5,0.01,0.99,0.01,0.99,0.98,0.98,9284.0,5961.0,5961.0,9284.0,0.8632,123.1,,0,2,5943.679471999998,HighVol,Range,2.91379,0.0,0.5,0.5,0.5,0.5,0.44,0.56,0.71,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:58:58.588277+00:00,SOL,0xf960aa93db6822a6b578d4a557b7f77df91fe57b1f7e9b36fbf7c90c09d24090,43032175536975152034771023808550975100766296947606660446014697879867743155456,65706516950636871550225431068946355120129933719377513739547168941712776846409,0.04,0.96,0.01,0.99,0.01,0.99,0.98,0.98,9084.0,6234.03,6234.03,9084.0,0.9318,61.4,,0,2,5943.679471999998,HighVol,Range,6.255704,0.0076,0.2056,0.2056,0.1688,0.1504,0.44,0.56,0.71,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:59:58.607944+00:00,SOL,0xf960aa93db6822a6b578d4a557b7f77df91fe57b1f7e9b36fbf7c90c09d24090,43032175536975152034771023808550975100766296947606660446014697879867743155456,65706516950636871550225431068946355120129933719377513739547168941712776846409,0.03,0.97,0.01,0.99,0.01,0.99,0.98,0.98,5417.0,615.5,615.5,5417.0,0.9985,1.4,,0,2,5943.679471999998,HighVol,Trend,9.499559,0.0272,0.0864,0.0864,0.0347,0.0089,0.36,0.47,0.63,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T21:00:58.625409+00:00,SOL,0x7f8924149f535444a0992f7febae8aa5dfeaae8506552e5f0ff82e023c15ef07,48871449018423438088865110629936631057161732262128133544546819800009052230925,60905305029942251035020616916061795085098860672076322718803896490925346070701,0.69,0.31,0.01,0.99,0.01,0.99,0.98,0.98,26919.26,23241.85,23241.85,26919.26,0.0651,841.4,,0,1,7.0,HighVol,Range,10.044703,0.0075,0.6216,0.6216,0.6368,0.6444,0.44,0.56,0.71,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
2026-03-07T21:01:58.642437+00:00,SOL,0x7f8924149f535444a0992f7febae8aa5dfeaae8506552e5f0ff82e023c15ef07,48871449018423438088865110629936631057161732262128133544546819800009052230925,60905305029942251035020616916061795085098860672076322718803896490925346070701,0.46,0.54,0.01,0.99,0.01,0.99,0.98,0.98,26849.26,27071.85,27071.85,26849.26,0.1318,781.3,,0,1,7.0,HighVol,Range,8.373957,0.0,0.4744,0.4744,0.4712,0.4696,0.44,0.56,0.71,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
2026-03-07T21:02:58.659391+00:00,SOL,0x7f8924149f535444a0992f7febae8aa5dfeaae8506552e5f0ff82e023c15ef07,48871449018423438088865110629936631057161732262128133544546819800009052230925,60905305029942251035020616916061795085098860672076322718803896490925346070701,0.7,0.3,0.01,0.99,0.01,0.99,0.98,0.98,23339.66,26971.85,26971.85,23339.66,0.1985,721.3,,0,1,7.0,LowVol,Trend,2.61233,0.0273,0.668,0.668,0.689,0.6995,0.52,0.63,0.8,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
