ts,symbol,condition_id,token_id_up,token_id_down,up_price,down_price,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth,up_ask_depth,down_bid_depth,down_ask_depth,elapsed_pct,remaining_sec,arb_profit,up_trade_count,down_trade_count,total_volume,vol_bucket,trend_bucket,rv60,eff60,prob_up,dir_60pct,dir_80pct,dir_90pct,prob_008,prob_012,prob_020,market_start_ts,market_end_ts
2026-03-07T20:53:56.780789+00:00,XRP,0xbfb711f7aed345543125d1472fe4ddcba07a0237f792071d12e54b7d5be400c2,6541649676527555233243196891863959571865076673827786838030016728216294637111,110111883745317796711211168453728745513732751521265072851165629217751759152395,0.26,0.74,0.01,0.99,0.01,0.99,0.98,0.98,7253.12,11183.98,11183.98,7253.12,0.5964,363.2,,0,1,1272.6536879999996,HighVol,Trend,3.603131,0.0279,0.2888,0.2888,0.2624,0.2492,0.36,0.47,0.63,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:54:56.799774+00:00,XRP,0xbfb711f7aed345543125d1472fe4ddcba07a0237f792071d12e54b7d5be400c2,6541649676527555233243196891863959571865076673827786838030016728216294637111,110111883745317796711211168453728745513732751521265072851165629217751759152395,0.28,0.72,0.01,0.99,0.01,0.99,0.98,0.98,6454.0,10383.0,10383.0,6454.0,0.6631,303.2,,0,1,2588.4406700000004,HighVol,Trend,3.779462,0.0198,0.3064,0.3064,0.2822,0.2701,0.36,0.47,0.63,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:55:56.817488+00:00,XRP,0xbfb711f7aed345543125d1472fe4ddcba07a0237f792071d12e54b7d5be400c2,6541649676527555233243196891863959571865076673827786838030016728216294637111,110111883745317796711211168453728745513732751521265072851165629217751759152395,0.52,0.48,0.01,0.99,0.01,0.99,0.98,0.98,9672.27,10407.2,10407.2,9672.27,0.7298,243.2,,0,1,2588.4406700000004,LowVol,Trend,3.430204,0.0154,0.5168,0.5168,0.5189,0.52,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:56:56.841138+00:00,XRP,0xbfb711f7aed345543125d1472fe4ddcba07a0237f792071d12e54b7d5be400c2,6541649676527555233243196891863959571865076673827786838030016728216294637111,110111883745317796711211168453728745513732751521265072851165629217751759152395,0.52,0.48,0.01,0.99,0.01,0.99,0.98,0.98,10187.27,8927.2,8927.2,10187.27,0.7965,183.1,,0,1,2588.4406700000004,LowVol,Trend,2.540547,0.0358,0.5168,0.5168,0.5189,0.52,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:57:56.862921+00:00,XRP,0xbfb711f7aed345543125d1472fe4ddcba07a0237f792071d12e54b7d5be400c2,6541649676527555233243196891863959571865076673827786838030016728216294637111,110111883745317796711211168453728745513732751521265072851165629217751759152395,0.5,0.5,0.01,0.99,0.01,0.99,0.98,0.98,8823.27,6608.2,6608.2,8823.27,0.8632,123.1,,0,1,2889.4567609999995,LowVol,Trend,1.768276,0.0481,0.5,0.5,0.5,0.5,0.52,0.63,0.8,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:58:58.588277+00:00,XRP,0xbfb711f7aed345543125d1472fe4ddcba07a0237f792071d12e54b7d5be400c2,6541649676527555233243196891863959571865076673827786838030016728216294637111,110111883745317796711211168453728745513732751521265072851165629217751759152395,0.54,0.46,0.01,0.99,0.01,0.99,0.98,0.98,6468.27,9608.2,9608.2,6468.27,0.9318,61.4,,0,1,2889.4567609999995,LowVol,Range,1.303311,0.0069,0.5288,0.5288,0.5324,0.5342,0.65,0.74,0.87,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T20:59:58.607944+00:00,XRP,0xbfb711f7aed345543125d1472fe4ddcba07a0237f792071d12e54b7d5be400c2,6541649676527555233243196891863959571865076673827786838030016728216294637111,110111883745317796711211168453728745513732751521265072851165629217751759152395,0.04,0.96,0.01,0.99,0.01,0.99,0.98,0.98,1159.81,6483.39,6483.39,1159.81,0.9985,1.4,,0,1,2889.4567609999995,HighVol,Range,6.097674,0.003,0.2056,0.2056,0.1688,0.1504,0.44,0.56,0.71,2026-03-07T20:45:00+00:00,2026-03-07T21:00:00+00:00
2026-03-07T21:00:58.625409+00:00,XRP,0xaacc1d2b8b421d0a53f8912a1ca233dcbcafcba411813207f50bf41c4b63a651,86088970827574408172769555071536718914384293500739427714864112434099320306678,61504333749897094943693471377581900177722583518936542225020273655369843960841,0.28,0.72,0.01,0.99,0.01,0.99,0.98,0.98,27574.68,23784.02,23784.02,27574.68,0.0652,841.4,,0,0,1.960783,HighVol,Range,7.19245,0.0012,0.3592,0.3592,0.3416,0.3328,0.44,0.56,0.71,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
2026-03-07T21:01:58.642437+00:00,XRP,0xaacc1d2b8b421d0a53f8912a1ca233dcbcafcba411813207f50bf41c4b63a651,86088970827574408172769555071536718914384293500739427714864112434099320306678,61504333749897094943693471377581900177722583518936542225020273655369843960841,0.54,0.46,0.01,0.99,0.01,0.99,0.98,0.98,27604.68,27384.02,27384.02,27604.68,0.1318,781.3,,0,0,1.960783,HighVol,Range,7.287375,0.0049,0.5256,0.5256,0.5288,0.5304,0.44,0.56,0.71,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
2026-03-07T21:02:58.659391+00:00,XRP,0xaacc1d2b8b421d0a53f8912a1ca233dcbcafcba411813207f50bf41c4b63a651,86088970827574408172769555071536718914384293500739427714864112434099320306678,61504333749897094943693471377581900177722583518936542225020273655369843960841,0.41,0.59,0.01,0.99,0.01,0.99,0.98,0.98,25829.68,26701.32,26701.32,25829.68,0.1985,721.3,,0,0,1.960783,LowVol,Trend,2.377631,0.0134,0.4244,0.4244,0.4149,0.4102,0.52,0.63,0.8,2026-03-07T21:00:00+00:00,2026-03-07T21:15:00+00:00
