id,timestamp,market_id,interval_minutes,log_return,realized_vol_60m,efficiency_60m,vol_bucket,trend_bucket,created_at
3,1771914539,"0x04f62d6872e61b15265c7b323d7ff08289adb3a6aff3369af8657f0d6b696324",12,0,0,0,"LowVol","Range",
5,1771914539,"0x07a437d0afff1a74b91f2ee67c43830667b0f426634375432875050204087c85",12,0,0,0,"LowVol","Range",
14,1771914539,"0x45a95fa5d94ab599c39c8b0751c7d47b36f57e2269064a624ff3e82c36da4f83",12,0,0,0,"LowVol","Range",
36,1771914539,"0xcc8d0e3031912c1dc2216467bd5c9f1199a00acbfb15e5b769c999458d2fd3f0",12,0,0,0,"LowVol","Range",
46,1771914539,"0x04f62d6872e61b15265c7b323d7ff08289adb3a6aff3369af8657f0d6b696324",12,0,0,0,"LowVol","Range",
48,1771914539,"0x07a437d0afff1a74b91f2ee67c43830667b0f426634375432875050204087c85",12,0,0,0,"LowVol","Range",
57,1771914539,"0x45a95fa5d94ab599c39c8b0751c7d47b36f57e2269064a624ff3e82c36da4f83",12,0,0,0,"LowVol","Range",
79,1771914539,"0xcc8d0e3031912c1dc2216467bd5c9f1199a00acbfb15e5b769c999458d2fd3f0",12,0,0,0,"LowVol","Range",
89,1771914539,"0x04f62d6872e61b15265c7b323d7ff08289adb3a6aff3369af8657f0d6b696324",12,0,0,0,"LowVol","Range",
91,1771914539,"0x07a437d0afff1a74b91f2ee67c43830667b0f426634375432875050204087c85",12,0,0,0,"LowVol","Range",
100,1771914539,"0x45a95fa5d94ab599c39c8b0751c7d47b36f57e2269064a624ff3e82c36da4f83",12,0,0,0,"LowVol","Range",
122,1771914539,"0xcc8d0e3031912c1dc2216467bd5c9f1199a00acbfb15e5b769c999458d2fd3f0",12,0,0,0,"LowVol","Range",
132,1771914539,"0x04f62d6872e61b15265c7b323d7ff08289adb3a6aff3369af8657f0d6b696324",12,0,0,0,"LowVol","Range",
134,1771914539,"0x07a437d0afff1a74b91f2ee67c43830667b0f426634375432875050204087c85",12,0,0,0,"LowVol","Range",
143,1771914539,"0x45a95fa5d94ab599c39c8b0751c7d47b36f57e2269064a624ff3e82c36da4f83",12,0,0,0,"LowVol","Range",
165,1771914539,"0xcc8d0e3031912c1dc2216467bd5c9f1199a00acbfb15e5b769c999458d2fd3f0",12,0,0,0,"LowVol","Range",
175,1771914539,"0x04f62d6872e61b15265c7b323d7ff08289adb3a6aff3369af8657f0d6b696324",12,0,0,0,"LowVol","Range",
177,1771914539,"0x07a437d0afff1a74b91f2ee67c43830667b0f426634375432875050204087c85",12,0,0,0,"LowVol","Range",
186,1771914539,"0x45a95fa5d94ab599c39c8b0751c7d47b36f57e2269064a624ff3e82c36da4f83",12,0,0,0,"LowVol","Range",
208,1771914539,"0xcc8d0e3031912c1dc2216467bd5c9f1199a00acbfb15e5b769c999458d2fd3f0",12,0,0,0,"LowVol","Range",
218,1771914539,"0x04f62d6872e61b15265c7b323d7ff08289adb3a6aff3369af8657f0d6b696324",12,0,0,0,"LowVol","Range",
220,1771914539,"0x07a437d0afff1a74b91f2ee67c43830667b0f426634375432875050204087c85",12,0,0,0,"LowVol","Range",
229,1771914539,"0x45a95fa5d94ab599c39c8b0751c7d47b36f57e2269064a624ff3e82c36da4f83",12,0,0,0,"LowVol","Range",
251,1771914539,"0xcc8d0e3031912c1dc2216467bd5c9f1199a00acbfb15e5b769c999458d2fd3f0",12,0,0,0,"LowVol","Range",
261,1771914539,"0x04f62d6872e61b15265c7b323d7ff08289adb3a6aff3369af8657f0d6b696324",12,0,0,0,"LowVol","Range",
263,1771914539,"0x07a437d0afff1a74b91f2ee67c43830667b0f426634375432875050204087c85",12,0,0,0,"LowVol","Range",
